City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Bambous%20Virieux,MU,-20.3428,57.7575,70.21,83,40,12.66,light rain
80,Te%20Anau,NZ,-45.4167,167.7167,47.84,59,11,5.41,few clouds
81,Dikson,RU,73.5069,80.5464,42.17,99,100,14.63,overcast clouds
82,Honiara,SB,-9.4333,159.95,85.24,71,94,6.8,overcast clouds
83,Makakilo%20City,US,21.3469,-158.0858,86.32,62,20,9.22,few clouds
84,Gornopravdinsk,RU,60.05,69.9,61.95,87,7,5.84,clear sky
85,Avarua,CK,-21.2078,-159.775,77.05,69,20,18.41,few clouds
86,Leh,IN,34.1667,77.5833,60.49,58,30,5.68,scattered clouds
87,Kahului,US,20.8947,-156.47,91.42,59,20,12.66,few clouds
88,Kulhudhuffushi,MV,6.6221,73.07,81.21,77,100,14,overcast clouds
89,Arlit,NE,18.7369,7.3853,87.49,39,52,8.39,broken clouds
90,Port%20Elizabeth,ZA,-33.918,25.5701,62.31,55,0,4,clear sky
91,Cidreira,BR,-30.1811,-50.2056,61.02,92,84,16.6,broken clouds
92,Atuona,PF,-9.8,-139.0333,76.69,62,2,7.96,clear sky
93,Marsa%20Matruh,EG,31.3525,27.2453,79,83,0,0,clear sky
94,Bondo,CD,3.8146,23.6866,65.55,99,100,1.52,overcast clouds
95,Clyde%20River,CA,70.4692,-68.5914,34.03,100,100,21.85,light snow
96,Sembe,CG,1.6481,14.5806,68.09,99,72,0.31,light rain
97,Buala,SB,-8.145,159.5921,83.82,71,100,6.6,light rain
98,Maniitsoq,GL,65.4167,-52.9,41.85,83,77,15.21,broken clouds
99,Kharp,RU,66.8014,65.8081,62.47,83,100,5.01,overcast clouds
100,Cassilandia,BR,-19.1133,-51.7342,70.66,36,63,4.23,broken clouds
101,Wadi%20Maliz,TN,36.4681,8.5495,69.46,83,0,2.21,clear sky
102,Port%20Antonio,JM,18.18,-76.4612,82.31,84,100,8.25,overcast clouds
103,Mar%20Del%20Plata,AR,-38.0023,-57.5575,53.87,84,0,8.99,clear sky
104,Fayaoue,NC,-20.65,166.5333,75.92,62,33,10.2,scattered clouds
105,Inhambane,MZ,-23.865,35.3833,65.25,86,46,6.46,light rain
106,Svetlaya,RU,46.5389,138.3297,70.16,50,59,5.77,broken clouds
107,Dauriya,RU,49.9333,116.8667,66.24,37,100,10.6,overcast clouds
108,Lompoc,US,34.6391,-120.4579,77.14,85,100,10.36,overcast clouds
109,Sohag,EG,26.557,31.6948,84.49,24,1,3.02,clear sky
110,Kang,BW,-23.6752,22.7876,50.92,43,0,9.73,clear sky
111,Tazovskiy,RU,67.4667,78.7,57.65,79,85,14.7,overcast clouds
112,Lasa,IT,46.6166,10.7002,51.69,74,7,4.14,clear sky
113,Hobart,AU,-42.8794,147.3294,55.26,71,75,16.11,broken clouds
114,The%20Pas,CA,53.8251,-101.2541,68.02,60,40,8.05,scattered clouds
115,Chapais,CA,49.7834,-74.8492,64.18,71,80,1.81,broken clouds
116,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,5.75,clear sky
117,Jamestown,US,42.097,-79.2353,69.39,64,0,8.05,clear sky
118,Vangaindrano,MG,-23.35,47.6,64.83,89,64,1.05,light rain
119,Sinnamary,GF,5.3833,-52.95,77.68,83,90,7.34,overcast clouds
